(T) (EULER),(Y) (EULER),(V) (EULER),(K) (EULER)
0.0,1.0,0.0,27.489149999999995
0.02820439359290223,1.0,-0.02820439359290223,27.489149999999995
0.05640878718580446,0.9992045121820566,-0.05579203370245349,27.489149999999995
0.08461318077870669,0.9976309317041642,-0.08158306533813035,27.489149999999995
0.11281757437160891,0.9953299308188521,-0.10462712131922644,27.489149999999995
0.14102196796451114,0.9923789863086724,-0.1243442720319219,27.489149999999995
0.16922636155741336,0.9888719315192611,-0.1405611373103717,27.489149999999995
0.19743075515031558,0.9849074898786934,-0.1534473003175271,27.489149999999995
0.2256351487432178,0.9805796018247696,-0.16339607413148127,27.489149999999995
0.25383954233612005,0.9759711146384302,-0.17090089823576993,27.489149999999995
0.28204393592902227,0.9711509584392081,-0.17646058156027936,27.489149999999995
0.3102483295219245,0.9661739947432495,-0.18052296155917133,27.489149999999995
0.3384527231148267,0.9610824540828783,-0.18346097785106003,27.489149999999995
0.36665711670772894,0.9559080484546283,-0.18556987966560337,27.489149999999995
0.39486151030063116,0.9506741625295521,-0.18707539285241595,27.489149999999995
0.4230659038935334,0.9453978145179958,-0.1881459370878155,27.489149999999995
0.4512702974864356,0.9400912724554656,-0.1889050443187951,27.489149999999995
0.4794746910793378,0.9347633202338137,-0.1894422392973074,27.489149999999995
0.5076790846722401,0.9294202167535517,-0.18982185444045843,27.489149999999995
0.5358834782651424,0.9240664064583785,-0.19008984410482915,27.489149999999995
0.5640878718580447,0.9187050376772324,-0.19027889710137677,27.489149999999995
0.5922922654509469,0.9133383367709619,-0.19041219732626588,27.489149999999995
0.6204966590438492,0.9079678762126825,-0.1905061532643494,27.489149999999995
0.6487010526367515,0.902594765684145,-0.19057236104141953,27.489149999999995
0.6769054462296538,0.8972197878054041,-0.1906190073457931,27.489149999999995
0.705109839822556,0.891843494295935,-0.19065186764688508,27.489149999999995
0.7333142334154583,0.8864662739816004,-0.19067501428016695,27.489149999999995
0.7615186270083606,0.8810884008305103,-0.19069131764887362,27.489149999999995
0.7897230206012629,0.8757100678527924,-0.1907028004544162,27.489149999999995
0.8179274141941651,0.8703314110095073,-0.19071088778854106,27.489149999999995
0.8461318077870674,0.8649525260678674,-0.19071658357115778,27.48915000000023
0.8461318077870674,0.8649525260678674,-0.19071658357115778,27.48915000000023
0.84683691762689,0.8648180499281741,-0.19071668385589582,27.783871280000216
0.8475420274667125,0.864683573717769,-0.19070922472470628,28.078592560000203
0.848247137306535,0.8645491027668707,-0.19069426324782737,28.37331384000019
0.8489522471463575,0.864414642365457,-0.19067185785085233,28.66803512000018
0.8496573569861801,0.864280197762309,-0.19064206827918442,28.96275640000017
0.8503624668260026,0.8641457741640812,-0.19060495556206847,29.257477680000154
0.8510675766658251,0.8640113767343954,-0.1905605819762349,29.552198960000144
0.8517726865056476,0.8638770105929616,-0.19050901100919207,29.846920240000127
0.8524777963454702,0.8637426808147242,-0.1904503073222022,30.141641520000118
0.8531829061852927,0.8636083924290341,-0.1903845367129769,30.436362800000108
0.8538880160251152,0.8634741504188477,-0.19031176607812683,30.73108408000009
0.8545931258649377,0.863339959719952,-0.1902320633754011,31.02580536000008
0.8552982357047603,0.8632058252202163,-0.19014549758575047,31.32052664000007
0.8560033455445828,0.8630717517588706,-0.19005213867524892,31.615247920000055
0.8567084553844053,0.8629377441258114,-0.18995205755690736,31.909969200000045
0.8574135652242278,0.8628038070609334,-0.18984532605241278,32.204690480000025
0.8581186750640504,0.8626699452534895,-0.18973201685382582,32.499411760000015
0.8588237849038729,0.8625361633414765,-0.18961220348526922,32.794133040000006
0.8595288947436954,0.8624024659110486,-0.1894859602646386,33.08885431999999
0.860234004583518,0.8622688574959578,-0.18935336226536736,33.38357559999998
0.8609391144233405,0.8621353425770211,-0.1892144852782758,33.67829687999996
0.861644224263163,0.8620019255816144,-0.1890694057735346,33.97301815999995
0.8623493341029855,0.861868610883194,-0.1889182008627719,34.26773943999994
0.8630544439428081,0.861735402800844,-0.18876094826135262,34.562460719999926
0.8637595537826306,0.8616023055988508,-0.18859772625085758,34.857181999999916
0.8644646636224531,0.8614693234863031,-0.1884286136417897,35.15190327999991
0.8651697734622756,0.8613364606167202,-0.18825368973653345,35.44662455999989
0.8658748833020982,0.861203721087704,-0.18807303429259295,35.74134583999988
0.8665799931419207,0.861071108940619,-0.18788672748613366,36.03606711999987
0.8672851029817432,0.8609386281602964,-0.1876948498758511,36.330788399999854
0.8672851029817432,0.8609386281602964,-0.1876948498758511,36.330788399999854
0.8686953226613884,0.8606739371892335,-0.18730011485852868,41.07928227841947
0.8701055423410335,0.8604098028812601,-0.18667804441959485,46.47994243869187
0.8715157620206787,0.860146545829262,-0.1858040393227128,52.62233851490951
0.8729259817003239,0.8598845213164515,-0.1846523292494242,59.60834178811504
0.874336201379969,0.8596241209678517,-0.18319636938442577,67.55381471556115
0.8757464210596142,0.8593657738425062,-0.18140938486768546,76.5905325028134
0.8771566407392594,0.8591099467578935,-0.17926508128012697,86.86836858785689
0.8785668604189045,0.8588571436123992,-0.1767385327853407,98.55778028333276
0.8799770800985497,0.8586079034553137,-0.17380724876594247,111.8526358011371
0.8813872997781949,0.858362797052639,-0.17045240416311205,126.97342954541935
0.88279751945784,0.8581224217178454,-0.16666019818006436,144.17093899942853
0.8842077391374852,0.8578873942265582,-0.16242328135385387,163.73038385546138
0.8856179588171303,0.8576583417187605,-0.15774216426023632,185.97615636684102
0.8870281784967755,0.857435890614411,-0.15262649574358264,211.27720137453807
0.8884383981764207,0.857220653726478,-0.14709607935836055,240.05313523586156
